Timestamp,1. Spending: How long do you spend on this course per week???,2. Spending: How much money do you spend on this course?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: Your averaged assignment grade,7.Outcome: Your Mid-term grade,8. Outcome: Your final test score,9. Outcome: Your ranking
2018/06/23 2:42:24 PM MDT,10.00,5.00,1.00,1.00,5.00,4.00,8.00,9.00,0.00
2018/06/23 2:58:24 PM MDT,10.00,4.00,1.00,1.00,6.00,5.00,7.00,6.00,0.00
2018/06/23 5:30:26 PM MDT,6.00,10.00,1.00,1.00,1.00,8.00,9.00,9.00,0.00
2018/06/23 6:13:01 PM MDT,10.00,3.00,1.00,10.00,7.00,9.00,8.00,9.00,0.00
2018/06/23 6:58:11 PM MDT,10.00,6.00,1.00,6.00,1.00,8.00,8.00,8.00,0.00
2018/06/23 7:12:24 PM MDT,10.00,10.00,10.00,5.00,5.00,9.00,7.00,8.00,0.00
2018/06/23 7:40:23 PM MDT,10.00,1.00,1.00,1.00,10.00,9.00,9.00,9.00,9.00
2018/06/24 10:16:35 AM MDT,2.00,2.00,6.00,7.00,1.00,9.00,8.00,9.00,0.00
2018/06/24 10:28:23 AM MDT,5.00,2.00,4.00,8.00,1.00,9.00,8.00,9.00,9.00
2018/06/24 10:56:32 AM MDT,10.00,3.00,2.00,1.00,10.00,9.00,7.00,8.00,0.00
2018/06/24 11:44:26 AM MDT,10.00,3.00,8.00,6.00,6.00,8.00,9.00,9.00,0.00
2018/06/24 12:43:27 PM MDT,7.00,10.00,7.00,10.00,10.00,9.00,8.00,9.00,0.00
2018/06/24 9:53:15 AM MDT,10.00,3.00,6.00,10.00,5.00,9.00,7.00,9.00,0.00
2018/06/25 1:31:14 PM MDT,10.00,2.00,1.00,1.00,1.00,8.00,9.00,8.00,9.00
2018/06/25 1:32:12 PM MDT,10.00,4.00,1.00,1.00,5.00,9.00,8.00,9.00,0.00
2018/06/25 1:45:26 PM MDT,6.00,1.00,10.00,10.00,6.00,9.00,9.00,9.00,0.00
2018/06/25 10:01:29 PM MDT,3.00,3.00,1.00,1.00,1.00,8.00,8.00,8.00,0.00
