Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/23 2:22:34 PM MDT,Much (>10hrs),OK ($50~200),Little (<1 hrs),OK (5~10 hrs),OK (5~10 hrs),Bad,OK,Little,Little,OK
2018/06/23 2:30:42 PM MDT,Much (>10hrs),Little (<$50),Little (<1 hrs),OK (5~10 hrs),OK (5~10 hrs),Bad,OK,OK,OK,OK
2018/06/23 5:10:04 PM MDT,OK (5~10 hrs),Much (>$200),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,Much,Much,Good
2018/06/23 6:09:00 PM MDT,Much (>10hrs),Little (<$50),Little (<1 hrs),OK (5~10 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/23 6:34:21 PM MDT,Much (>10hrs),OK ($50~200),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,Much,Much,Good
2018/06/23 7:05:50 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/23 7:21:22 PM MDT,Much (>10hrs),Little (<$50),Little (<1 hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,Much,OK,Good
2018/06/24 9:33:13 AM MDT,Little (<5 hrs),Little (<$50),OK (1~2hrs),OK (5~10 hrs),Little (< 1 hrs),Good,Good,Much,OK,Good
2018/06/24 10:09:28 AM MDT,OK (5~10 hrs),Little (<$50),OK (1~2hrs),OK (5~10 hrs),Little (< 1 hrs),Good,Good,Much,OK,Good
2018/06/24 10:30:50 AM MDT,Much (>10hrs),Little (<$50),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),Good,OK,OK,Little,OK
