Timestamp,1. Spending: How long do you spend on this course per week???,2. Spending: How much money do you spend on this course?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: Your averaged assignment grade,7.Outcome: Your Mid-term grade,8. Outcome: Your final test score,9. Outcome: Your ranking
2018/06/27 2:33:42 PM MDT,10,9,1,2,6,9,9,9,1
2018/06/27 2:46:04 PM MDT,10,8,10,10,5,7,8,8,2
2018/06/27 2:50:21 PM MDT,10,1,1,3,4,10,10,10,1
2018/06/27 2:52:04 PM MDT,6,10,5,10,6,9,9,8,3
2018/06/27 5:15:42 PM MDT,5,10,1,1,1,10,10,10,1
2018/06/27 5:24:46 PM MDT,10,10,6,10,10,10,10,8,3
2018/06/27 6:15:03 PM MDT,10,1,1,1,1,10,10,10,1
2018/06/27 6:42:16 PM MDT,10,10,10,10,5,10,10,10,1
2018/06/27 6:45:45 PM MDT,10,2,1,1,1,10,6,7,4
2018/06/27 6:57:15 PM MDT,6,10,10,10,10,10,10,10,1
2018/06/27 7:24:15 PM MDT,10,10,10,5,6,9,9,9,1
2018/06/27 7:44:33 PM MDT,10,1,6,8,9,9,9,9,8
2018/06/27 7:17:13 PM MDT,10,1,1,1,10,9,9,9,1
2018/06/27 7:13:57 PM MDT,5,5,5,10,10,10,10,10,1
2018/06/28 1:06:33 PM MDT,10,1,1,1,1,8,6,8,2
2018/06/28 1:10:25 PM MDT,10,10,10,10,10,9,9,9,1
2018/06/28 10:45:08 AM MDT,7,1,5,1,1,9,9,9,1
2018/06/28 10:34:26 AM MDT,10,10,9,5,10,9,7,8,2
2018/06/28 10:32:54 AM MDT,10,1,8,10,10,10,10,6,5
2018/06/28 10:41:25 AM MDT,9,10,10,5,10,10,10,8,3
2018/06/28 10:59:12 AM MDT,10,1,7,6,7,8,6,10,1
2018/06/28 11:29:42 AM MDT,10,10,10,10,5,10,9,10,1
2018/06/28 11:36:57 AM MDT,5,10,6,10,10,7,4,5,6
2018/06/28 11:35:12 AM MDT,10,1,10,5,10,9,9,10,1
2018/06/28 12:47:13 PM MDT,10,1,5,10,6,9,9,9,1
2018/06/28 01:29:39 PM MDT,6,10,10,10,10,9,8,9,1
2018/06/28 10:43:30 AM MDT,1,1,7,1,1,9,8,8,2
2018/06/28 10:55:44 AM MDT,10,10,10,5,1,9,8,9,1
2018/06/29 2:57:12 PM MDT,10,10,1,6,1,10,10,10,1
2018/06/29 1:49:43 PM MDT,5,5,10,10,10,9,9,9,1
2018/06/29 1:55:54 PM MDT,10,10,5,10,10,9,5,9,1
2018/06/29 1:50:20 PM MDT,5,1,1,5,6,7,6,6,5
2018/06/29 1:32:43 PM MDT,10,10,10,7,8,9,7,8,3
2018/06/29 2:26:34 PM MDT,10,10,10,1,6,9,7,7,4
2018/06/29 09:34:12 AM MDT,10,1,1,1,10,9,9,6,5
2018/06/29 09:56:26 AM MDT,6,5,2,10,10,10,10,10,1
2018/06/29 10:23:12 AM MDT,7,1,10,1,1,9,9,7,4
2018/06/29 10:30:46 AM MDT,10,10,2,1,10,10,8,8,3
2018/06/29 10:39:13 AM MDT,10,10,6,5,1,9,8,8,3
2018/06/29 11:18:23 AM MDT,1,1,1,1,5,6,9,9,2
2018/06/29 11:24:33 AM MDT,10,10,10,5,5,6,10,10,1
2018/06/29 11:45:13 AM MDT,1,10,10,10,10,10,8,8,3
2018/06/29 11:56:44 AM MDT,10,6,5,1,5,8,9,10,1
2018/06/29 12:13:02 AM MDT,10,4,10,10,5,10,9,9,1
2018/06/29 12:33:42 AM MDT,6,10,10,6,10,10,8,10,1
2018/06/29 12:40:53 AM MDT,7,5,10,8,9,9,10,8,2
2018/06/29 11:56:04 AM MDT,10,10,5,7,9,8,6,7,4
2018/06/29 11:57:19 AM MDT,10,10,6,5,10,10,7,10,1
2018/06/29 12:21:23 PM MDT,8,10,4,4,6,7,8,8,3
2018/06/29 12:30:36 PM MDT,10,10,10,10,1,8,10,10,1
2018/06/29 12:47:32 PM MDT,9,5,10,10,10,10,8,8,3
2018/06/29 12:50:41 PM MDT,1,1,1,1,1,8,9,7,4
2018/06/29 12:51:24 PM MDT,10,1,5,2,8,10,10,7,4
2018/06/29 12:59:57 PM MDT,10,10,9,10,10,9,8,8,3
2018/06/29 1:51:23 PM MDT,5,10,1,1,1,9,8,8,3
2018/06/29 1:58:23 PM MDT,10,10,7,1,10,10,9,9,1
2018/06/29 2:43:25 PM MDT,10,1,6,10,8,10,9,9,1
2018/06/29 2:52:14 PM MDT,6,5,1,10,6,8,10,8,3
2018/06/29 2:59:59 PM MDT,10,10,10,10,10,9,7,7,4
2018/06/29 2:43:23 PM MDT,10,10,10,1,5,8,5,9,2
2018/06/29 2:16:12 PM MDT,5,1,1,1,10,10,10,8,3
2018/06/29 3:59:24 PM MDT,10,8,10,5,7,9,8,8,3
2018/06/29 3:15:23 PM MDT,10,9,10,3,10,10,9,9,1
2018/06/29 3:23:15 PM MDT,10,1,10,10,1,8,10,10,1
2018/06/29 3:27:57 PM MDT,8,10,10,5,10,9,6,8,3
2018/06/29 3:43:20 PM MDT,9,7,5,10,1,10,10,9,1
2018/06/29 4:02:54 PM MDT,6,9,10,8,10,8,8,9,1
2018/06/29 3:36:12 PM MDT,10,10,10,9,10,10,9,7,4
2018/06/29 3:23:01 PM MDT,10,10,6,5,1,8,7,10,1
2018/06/29 3:14:15 PM MDT,5,1,1,1,7,8,9,8,3
2018/06/29 3:12:54 PM MDT,10,6,10,10,10,9,8,9,1
2018/06/29 3:19:45 PM MDT,9,10,8,5,6,9,9,10,1
2018/06/29 3:36:40 PM MDT,8,7,1,1,1,10,8,9,1
2018/06/29 3:38:07 PM MDT,10,10,10,10,10,8,10,9,1
2018/06/29 3:59:26 PM MDT,10,10,10,1,10,8,10,8,3
2018/06/29 4:59:23 PM MDT,9,1,1,1,6,9,8,10,1
2018/06/29 4:33:13 PM MDT,10,5,5,10,5,9,9,9,1
2018/06/29 4:46:57 PM MDT,10,6,6,5,10,10,8,8,3
2018/06/29 9:23:44 AM MDT,10,1,1,1,7,8,8,10,1
2018/06/29 9:32:21 AM MDT,8,10,10,10,5,9,8,9,1
2018/06/29 9:46:54 AM MDT,6,10,10,4,10,7,9,9,1
2018/06/29 9:52:46 AM MDT,10,5,5,10,6,7,7,8,3
2018/06/29 10:27:13 AM MDT,1,1,1,1,1,8,8,9,1
2018/06/29 11:35:42 AM MDT,10,10,10,10,10,9,10,10,1
2018/06/29 12:33:58 PM MDT,10,1,8,10,3,10,10,10,1
2018/06/29 12:57:12 PM MDT,10,10,10,1,5,10,9,9,1
2018/06/29 12:33:45 PM MDT,10,10,7,10,10,8,8,8,3
2018/06/30 1:45:22 PM MDT,5,1,9,1,1,9,8,9,1
2018/06/30 1:51:19 PM MDT,10,10,1,2,10,9,9,8,3
2018/06/30 2:56:14 PM MDT,10,10,10,10,5,8,9,9,1
2018/06/30 3:03:01 PM MDT,10,10,10,10,10,8,10,10,1
2018/06/30 4:52:20 PM MDT,10,5,5,5,1,9,8,9,2
2018/06/30 4:01:45 PM MDT,10,6,10,6,10,9,7,8,3
2018/06/30 5:25:01 PM MDT,10,1,10,1,1,10,6,8,3
2018/06/30 5:56:01 PM MDT,5,7,5,10,5,10,9,9,1
2018/06/30 5:34:16 PM MDT,10,10,6,7,10,8,8,9,1
2018/06/30 6:57:01 PM MDT,10,1,1,10,10,9,7,10,1
2018/06/30 7:55:55 PM MDT,6,5,10,10,4,8,6,8,3
2018/06/30 8:59:47 PM MDT,10,10,10,10,10,9,8,9,1
2018/07/01 5:22:14 PM MDT,5,1,1,1,1,8,9,7,4
2018/07/01 5:15:13 PM MDT,1,1,10,10,10,9,10,9,1
2018/07/01 6:45:15 PM MDT,10,10,10,5,6,9,10,9,1
2018/07/01 6:57:45 PM MDT,10,10,5,1,10,10,8,10,1
2018/07/01 7:15:12 AM MDT,6,5,1,5,1,8,9,9,1
2018/07/01 8:27:23 AM MDT,10,10,6,6,10,9,10,9,1
2018/07/01 8:15:33 PM MDT,10,10,10,10,5,10,7,8,3
2018/07/01 9:26:14 PM MDT,10,7,10,10,1,8,9,9,1
2018/07/02 1:23:00 PM MDT,10,10,10,10,10,7,8,10,1
2018/07/02 1:46:01 PM MDT,8,8,1,7,10,6,9,9,1
